 Country: Kazakhstan, Density: 6956.9
 Country: Mauritania, Density: 4514.2
 Country: Guyana, Density: 4013
 Country: Libya, Density: 3906.4
 Country: Suriname, Density: 3760.5
 Country: Iceland, Density: 3412.4
 Country: Namibia, Density: 3087.4
 Country: Mongolia, Density: 2110.9
 Country: Bangladesh, Density: 1265.2
 Country: Palestine State, Density: 847.4
 Country: Micronesia, Density: 784.2
 Country: Barbados, Density: 668.3
 Country: Lebanon, Density: 667.2
 Country: San Marino, Density: 565.5
 Country: Nauru, Density: 541.2
 Country: South Korea, Density: 527.3
 Country: Rwanda, Density: 525
 Country: Netherlands, Density: 508.2
 Country: Comoros, Density: 467.3
 Country: Burundi, Density: 463
 Country: Haiti, Density: 413.7
 Country: Israel, Density: 400
 Country: Tuvalu, Density: 393.1
 Country: Belgium, Density: 382.7
 Country: Philippines, Density: 367.5
 Country: Japan, Density: 346.9
 Country: Sri Lanka, Density: 341.5
 Country: Grenada, Density: 330.9
 Country: Marshall Islands, Density: 328.8
 Country: Vietnam, Density: 313.9
 Country: El Salvador, Density: 313
 Country: Saint Lucia, Density: 301
 Country: Pakistan, Density: 286.5
 Country: Saint Vincent and the Grenadines, Density: 284.5
 Country: United Kingdom, Density: 280.6
 Country: Jamaica, Density: 273.4
 Country: Qatar, Density: 248.2
 Country: Luxembourg, Density: 241.7
 Country: Germany, Density: 240.4
 Country: Kuwait, Density: 239.7
 Country: Gambia, Density: 238.8
 Country: Liechtenstein, Density: 238.3
 Country: Uganda, Density: 228.9
 Country: Sao Tome and Principe, Density: 228.3
 Country: Nigeria, Density: 226.3
 Country: Dominican Republic, Density: 224.5
 Country: Antigua and Barbuda, Density: 222.6
 Country: Switzerland, Density: 219
 Country: North Korea, Density: 214.1
 Country: Seychelles, Density: 213.8
 Country: Italy, Density: 205.6
 Country: Saint Kitts and Nevis, Density: 204.6
 Country: Nepal, Density: 203.3
 Country: Malawi, Density: 202.9
 Country: Guatemala, Density: 167.2
 Country: Andorra, Density: 164.4
 Country: Togo, Density: 152.2
 Country: Indonesia, Density: 151
 Country: Kiribati, Density: 147.5
 Country: Tonga, Density: 146.8
 Country: Czechia (Czech Republic), Density: 138.6
 Country: Ghana, Density: 136.6
 Country: Thailand, Density: 136.6
 Country: Denmark, Density: 136.5
 Country: Poland, Density: 123.6
 Country: Moldova, Density: 122.8
 Country: Azerbaijan, Density: 122.7
 Country: France, Density: 119.2
 Country: United Arab Emirates, Density: 118.3
 Country: Ethiopia, Density: 115
 Country: Jordan, Density: 114.9
 Country: Slovakia, Density: 113.5
 Country: Portugal, Density: 111.3
 Country: Sierra Leone, Density: 110.5
 Country: Turkey, Density: 109.6
 Country: Austria, Density: 109.3
 Country: Benin, Density: 107.5
 Country: Hungary, Density: 106.7
 Country: Cuba, Density: 106.4
 Country: Albania, Density: 105
 Country: Armenia, Density: 104.1
 Country: Slovenia, Density: 103.2
 Country: Egypt, Density: 102.8
 Country: Serbia, Density: 99.9
 Country: Costa Rica, Density: 99.8
 Country: Malaysia, Density: 98.5
 Country: Dominica, Density: 96
 Country: Syria, Density: 95.3
 Country: Cambodia, Density: 94.7
 Country: Kenya, Density: 94.5
 Country: Spain, Density: 93.7
 Country: Iraq, Density: 92.6
 Country: Honduras, Density: 88.5
 Country: Senegal, Density: 87
 Country: Romania, Density: 83.6
 Country: Myanmar (formerly Burma), Density: 83.3
 Country: Brunei, Density: 83
 Country: Morocco, Density: 82.7
 Country: North Macedonia, Density: 82.6
 Country: Greece, Density: 80.9
 Country: Uzbekistan, Density: 78.7
 Country: Burkina Faso, Density: 76.4
 Country: Tunisia, Density: 76.1
 Country: Ukraine, Density: 75.5
 Country: Croatia, Density: 73.4
 Country: Ireland, Density: 71.7
 Country: Ecuador, Density: 71
 Country: Lesotho, Density: 70.6
 Country: Samoa, Density: 70.1
 Country: Tajikistan, Density: 68.1
 Country: Tanzania, Density: 67.4
 Country: Mexico, Density: 66.3
 Country: Bosnia and Herzegovina, Density: 64.3
 Country: Bulgaria, Density: 64
 Country: Afghanistan, Density: 59.6
 Country: Panama, Density: 58
 Country: Georgia, Density: 57.4
 Country: Yemen, Density: 56.5
 Country: Cameroon, Density: 56.2
 Country: Nicaragua, Density: 55
 Country: Guinea, Density: 53.4
 Country: Liberia, Density: 52.5
 Country: Iran, Density: 51.6
 Country: Fiji, Density: 49.1
 Country: South Africa, Density: 48.9
 Country: Madagascar, Density: 47.6
 Country: Montenegro, Density: 46.7
 Country: Belarus, Density: 46.6
 Country: Colombia, Density: 45.9
 Country: Lithuania, Density: 43.4
 Country: Djibouti, Density: 42.6
 Country: Mozambique, Density: 39.7
 Country: Democratic Republic of the Congo, Density: 39.5
 Country: Bahamas, Density: 39.3
 Country: Palau, Density: 39.3
 Country: Zimbabwe, Density: 38.4
 Country: United States of America, Density: 36.2
 Country: Eritrea, Density: 35.1
 Country: Kyrgyzstan, Density: 34
 Country: Venezuela, Density: 32.2
 Country: Laos, Density: 31.5
 Country: Angola, Density: 26.4
 Country: Peru, Density: 25.8
 Country: Chile, Density: 25.7
 Country: Brazil, Density: 25.4
 Country: Somalia, Density: 25.3
 Country: Vanuatu, Density: 25.2
 Country: Sudan, Density: 24.8
 Country: Zambia, Density: 24.7
 Country: Sweden, Density: 24.6
 Country: Solomon Islands, Density: 24.5
 Country: Bhutan, Density: 20.2
 Country: Papua New Guinea, Density: 19.8
 Country: Uruguay, Density: 19.8
 Country: Niger, Density: 19.1
 Country: Algeria, Density: 18.4
 Country: New Zealand, Density: 18.3
 Country: South Sudan, Density: 18.3
 Country: Finland, Density: 18.2
 Country: Paraguay, Density: 18
 Country: Belize, Density: 17.4
 Country: Mali, Density: 16.6
 Country: Argentina, Density: 16.5
 Country: Oman, Density: 16.5
 Country: Congo (Congo-Brazzaville), Density: 16.2
 Country: Saudi Arabia, Density: 16.2
 Country: Norway, Density: 14.8
 Country: Chad, Density: 13
 Country: Turkmenistan, Density: 12.8
 Country: Bolivia, Density: 10.8
 Country: Russia, Density: 8.5
 Country: Central African Republic, Density: 7.8
 Country: Canada, Density: 4.2
 Country: Botswana, Density: 4.1
 Country: Australia, Density: 3.3
